Name,Type,Mean index value,Index value SD,Mean index value (visible),Index value (visible) SD,Area [ha],index_name,source_folder,measurement,altitude_m,CV
Zample2maly,Area,0.18759,0.05741,0.18804,0.05694,0.00031,NDRE,"1 01LBZ20,05_L50",1,50,0.306039768
Zample2duzy,Area,0.19185,0.06652,0.19238,0.06606,0.0005,NDRE,"1 01LBZ20,05_L50",1,50,0.346729216
Zample3maly,Area,0.19067,0.05632,0.1908,0.05618,0.00029,NDRE,"1 01LBZ20,05_L50",1,50,0.295379451
Zample3duzy,Area,0.19939,0.07239,0.19929,0.07181,0.00053,NDRE,"1 01LBZ20,05_L50",1,50,0.363057325
Zample4maly,Area,0.19581,0.05366,0.19583,0.05364,0.00039,NDRE,"1 01LBZ20,05_L50",1,50,0.274041162
Zample4duzy,Area,0.20882,0.07388,0.20839,0.07282,0.00057,NDRE,"1 01LBZ20,05_L50",1,50,0.353797529
Zample5maly,Area,0.20535,0.06013,0.20535,0.06013,0.00038,NDRE,"1 01LBZ20,05_L50",1,50,0.292817141
Zample5duzy,Area,0.23607,0.08874,0.23424,0.08671,0.00072,NDRE,"1 01LBZ20,05_L50",1,50,0.375905452
Zprze2maly,Area,0.19001,0.05313,0.19021,0.05289,0.00024,NDRE,"1 01LBZ20,05_L50",1,50,0.279616862
Zprze2duzy,Area,0.19192,0.06127,0.19234,0.06085,0.00039,NDRE,"1 01LBZ20,05_L50",1,50,0.319247603
Zprze3maly,Area,0.18994,0.05357,0.18999,0.05352,0.00031,NDRE,"1 01LBZ20,05_L50",1,50,0.282036433
Zprze3duzy,Area,0.19716,0.06569,0.19738,0.06543,0.00049,NDRE,"1 01LBZ20,05_L50",1,50,0.333181173
Zprze4maly,Area,0.20437,0.05773,0.2045,0.05758,0.00031,NDRE,"1 01LBZ20,05_L50",1,50,0.282477859
Zprze4duzy,Area,0.19781,0.06477,0.19788,0.06435,0.0005,NDRE,"1 01LBZ20,05_L50",1,50,0.327435418
Zprze5maly,Area,0.20502,0.05679,0.20504,0.05676,0.00037,NDRE,"1 01LBZ20,05_L50",1,50,0.276997366
Zprze5duzy,Area,0.21443,0.07568,0.21323,0.0737,0.00062,NDRE,"1 01LBZ20,05_L50",1,50,0.35293569
Zcarron3maly,Area,0.18224,0.05266,0.1823,0.05249,0.0004,NDRE,"1 01LBZ20,05_L50",1,50,0.288959614
Zcarron3duzy,Area,0.18986,0.06713,0.18988,0.0668,0.00062,NDRE,"1 01LBZ20,05_L50",1,50,0.353576319
Zcarron4maly,Area,0.1891,0.05191,0.1892,0.0518,0.00037,NDRE,"1 01LBZ20,05_L50",1,50,0.274510841
Zcarron4duzy,Area,0.21195,0.08241,0.21236,0.08154,0.00072,NDRE,"1 01LBZ20,05_L50",1,50,0.388818117
Zcarron5maly,Area,0.19803,0.05383,0.19803,0.05383,0.00042,NDRE,"1 01LBZ20,05_L50",1,50,0.271827501
Zcarron5duzy,Area,0.20925,0.07645,0.20925,0.07566,0.00075,NDRE,"1 01LBZ20,05_L50",1,50,0.365352449
