Name,index_name,altitude_m,Type,Mean vegetation index value,Mean coefficient of variation of vegetation index,Mean standard deviation of the vegetation index,Mean standard deviation of the standard deviation vegetation index,Total amplitude of vegetation index,Total increase changes of vegetation index,Total decrease changes of vegetation index,Total relative vegetation index amplitude (%),Total relative increase change of vegetation index amplitude (%),Total relative decrease change of vegetation index amplitude (%),Number of increase changes vegetation index,Number of decrease changes vegetation index,Roughness of vegetation index dynamics,Concentration of vegetation index changes,Total normalized temporal amplitude relative to index bounds,Normalized temporal roughness relative to index bounds,Spearman correlation between index level and magnitude of temporal change
Glen Ample 2 Edges,GNDVI,30,Area,0.7197425,0.10348836261219921,0.07279000000000001,0.019997068356565242,0.26874,0.05393000000000003,0.21480999999999995,0.38948787128865886,0.07020592634365579,0.31928194494500306,3,4,0.28466,0.19881518259608344,0.5530430398499491,0.5397172263408492,-0.4642857142857144
Glen Ample 2 Edges,GNDVI,50,Area,0.7182175,0.08759812639168292,0.06172625000000001,0.01648853189124403,0.33364000000000005,0.09887000000000001,0.23477000000000003,0.47757034780718444,0.12994229173062782,0.3476280560765566,3,4,0.3991800000000002,0.16259334841989728,0.7641549124699772,0.37495232798688266,-0.3214285714285715
Glen Ample 2 Edges,LCI,30,Area,0.376535,0.21294868667869227,0.0766975,0.0235217484469161,0.27978000000000003,0.04103000000000001,0.23875000000000002,0.8248651824785498,0.1002576373261708,0.724607545152379,2,5,0.35034000000000015,0.2055067485317919,0.7940629500863463,0.6477610854530168,-0.3214285714285715
Glen Ample 2 Edges,LCI,50,Area,0.34109375,0.2388199997834448,0.07585125,0.020737481895281858,0.38237,0.14450999999999997,0.23786000000000002,1.4984486122328566,0.4356543270174823,1.0627942852153744,3,4,0.63684,0.34591344078430586,1.2846100923983812,1.9208075569312453,-0.5714285714285715
Glen Ample 2 Edges,MCARI,30,Area,0.7505437500000001,0.3565326963848051,0.26238875,0.04158741857736029,1.5510199999999998,0.6741199999999999,0.8768999999999999,2.177358408652129,0.7185809467784812,1.4587774618736475,2,5,2.81563,0.21939641185668357,-11.061397282010926,33.13935068962588,0.8214285714285715
Glen Ample 2 Edges,MCARI,50,Area,0.7657499999999999,0.34164731252792635,0.25776750000000004,0.02017068859933712,0.7387499999999999,0.29755999999999994,0.44118999999999997,0.9079209586206114,0.31309134763367724,0.5948296109869342,2,5,1.0288899999999996,0.24587426719460836,10.651524556162562,20.039195386983675,0.9285714285714288
Glen Ample 2 Edges,MCARI2,30,Area,0.67669,0.2868173420234109,0.1901875,0.029932410408404178,0.5018900000000002,0.15368000000000004,0.34821000000000013,0.7427514616199323,0.191725969589872,0.5510254920300603,2,5,0.8664200000000002,0.24400108342423235,1.3275303037007737,2.116806653675783,0.28571428571428575
Glen Ample 2 Edges,MCARI2,50,Area,0.657275,0.2754996860837604,0.17687,0.024121722871422644,0.5126600000000001,0.15107000000000004,0.3615900000000001,0.7874481908388874,0.19624712125431668,0.5912010695845707,2,5,0.8079100000000001,0.2087744374924474,1.2513814939420833,1.6477177357785016,0.3214285714285715
Glen Ample 2 Edges,NDRE,30,Area,0.261335,0.2515300477297344,0.06305749999999999,0.019541885966888075,0.23412999999999998,0.04161999999999999,0.19251,0.9954584024966281,0.14545143604295277,0.8500069664536753,2,5,0.33183999999999997,0.20760273652245836,0.9083196725621843,0.9747239736614173,-0.21428571428571433
Glen Ample 2 Edges,NDRE,50,Area,0.23240875,0.2821068650990264,0.06116875,0.016052266806992,0.3246300000000001,0.13117000000000004,0.19346000000000002,1.8881991897859733,0.560399475238451,1.3277997145475222,4,3,0.5465800000000001,0.31475093216362343,1.5019009857978642,2.510350259445784,-0.5714285714285715
Glen Ample 2 Edges,NDVI,30,Area,0.8380325,0.10252589086717584,0.08429500000000001,0.032347160175640946,0.19308999999999987,0.04204999999999992,0.15103999999999995,0.23556786822413228,0.0479037602601924,0.18766410796393987,2,5,0.26939,0.1935358076298131,0.5318271491795635,0.682518775660018,-0.3571428571428572
Glen Ample 2 Edges,NDVI,50,Area,0.8349975000000001,0.09008838060240418,0.07435625,0.025427332840019672,0.14474999999999982,0.029169999999999918,0.1155799999999999,0.17546243033979375,0.033508668946527334,0.14195376139326643,1,6,0.1419999999999998,0.17892149945859864,0.36723777989791123,0.5107205790939537,-0.5
Glen Ample 2 Edges,OSAVI,30,Area,0.61810875,0.1706241652689259,0.10381,0.02073340575703168,0.3141299999999999,0.09375999999999995,0.22036999999999995,0.511258578884251,0.1377511160462789,0.3735074628379721,3,4,0.48367999999999955,0.21282496118936517,0.6694897224015384,0.8225167513874883,0.28571428571428575
Glen Ample 2 Edges,OSAVI,50,Area,0.6115675,0.1572806636431022,0.09464875,0.018332309836149165,0.30308,0.08745999999999998,0.21562000000000003,0.4987759133088986,0.12950355365305516,0.36927235965584343,2,5,0.45785999999999993,0.19634780034651586,0.6393493076250281,0.6978895924443168,0.3571428571428572
Glen Ample 2 Edges,SIPI2,30,Area,0.9167525000000001,0.0328191484743047,0.029894999999999998,0.009567928571161951,0.1892900000000003,0.06628000000000012,0.12301000000000017,0.20782599259008375,0.07093534722667494,0.1368906453634088,3,4,0.2412200000000002,0.16511948198081863,1.1852303213382458,1.5701849719314669,0.0
Glen Ample 2 Edges,SIPI2,50,Area,0.9175075,0.02840120646585584,0.025896250000000003,0.008001112311065612,0.21158999999999994,0.07862999999999998,0.13295999999999997,0.2313184264626157,0.08333156562931461,0.1479868608333011,3,4,0.26774999999999993,0.16226898055723654,1.6020059178378308,2.2976784059817796,0.0
Glen Ample 2 Bounded,GNDVI,30,Area,0.7282912500000001,0.0938191095231114,0.06701499999999999,0.016665132119831172,0.2906899999999999,0.07916999999999996,0.21151999999999993,0.4118033671622595,0.10303108764609858,0.30877227951616093,3,4,0.3576399999999996,0.1995387312646602,0.6544405306784895,0.6079287639105847,-0.25
Glen Ample 2 Bounded,GNDVI,50,Area,0.72513375,0.07471452152082009,0.05294375,0.015001503674632084,0.36812999999999996,0.12119999999999997,0.24692999999999998,0.5189075723398926,0.15690672527448093,0.3620008470654117,3,4,0.47416999999999987,0.16979213078508593,0.9011364758890491,0.6496114861920627,-0.07142857142857144
Glen Ample 2 Bounded,LCI,30,Area,0.37482,0.19065422607687857,0.06805125000000001,0.01601582113991394,0.3273299999999999,0.07194999999999996,0.25537999999999994,0.9614808446952273,0.17625199077899867,0.7852288539162287,2,5,0.46690999999999994,0.22821025456856697,0.9068752185757074,0.8837076606882972,-0.3214285714285715
Glen Ample 2 Bounded,LCI,50,Area,0.33650125,0.20506504519047852,0.06360374999999999,0.013217090599998604,0.4310400000000001,0.17007000000000003,0.26097000000000004,1.7085746675357374,0.5032249409766364,1.2053497265591009,3,4,0.6581000000000001,0.3314057611614167,1.470056051865271,2.085560570640523,-0.3214285714285715
Glen Ample 2 Bounded,MCARI,30,Area,0.8277812499999999,0.23252417990584076,0.188105,0.036835037667959564,1.76018,0.77373,0.98645,2.237124852895179,0.7423023147614853,1.4948225381336935,3,4,3.2293000000000003,0.21500063624446505,6.481498463328745,21.889646284270952,0.8214285714285715
Glen Ample 2 Bounded,MCARI,50,Area,0.85000375,0.20516151807496896,0.16986249999999997,0.034971322843561,0.7706999999999999,0.30674999999999997,0.46395,0.8385569906696919,0.2804870285937887,0.5580699620759032,2,5,1.1258399999999997,0.26635281792780063,-2.305489832119366,6.346402995809007,0.8928571428571429
